objectid,filename,,,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights
coll001,essay001.pdf,,,Mystique of the Lone Star,"Bishop, James",1980-1990,Typed nonfiction essay by James Bishop,essays;draft;typed;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll002,essay002.pdf,,,Pickin' Cotton,"Bishop, James",1980-1990,Typed nonfiction essay with handwritten edits by James Bishop,essays;draft;typed;edits;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll003,essay003.pdf,,,Pickin' Cotton,"Bishop, James",1980-1990,Handwritten nonfiction essay draft by James Bishop,essays;draft;handwritten;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll004,essay004.pdf,,,Elaine,"Bishop, James",1980-1990,Typed nonfiction essay by James Bishop,essays;draft;typed;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll005,essay005.pdf,,,A Long Way Back,"Bishop, James",1980-1990,Typed nonfiction essay with handwritten edits by James Bishop,essays;draft;typed;edits;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll006,essay006.pdf,,,Shirley,"Bishop, James",1980-1990,Typed nonfiction essay by James Bishop,essays;draft;typed;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll007,essay007.pdf,,,Alford Tombstone Oak Hill,"Bishop, James",1980-1990,Handwritten nonfiction essay draft with edits by James Bishop,essays;draft;handwritten;edits;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll008,talk001.pdf,,,A Talk for Association of Retired Persons,"Bishop, James",1983-08-03,Handwritten talking script by James Bishop,talk;draft;handwritten;speech,"Bellville, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll009,essay008.pdf,,,Tum's Story,"Bishop, James",1980-1990,Typed nonfiction essay by James Bishop,essays;draft;typed;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll010,essay009.pdf,,,Tum's Story,"Bishop, James",1984-07-23,Typed Nonfiction Essay with Publication Inquiry by James Bishop,essays;final;typed;feedback;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll011,essay010.pdf,,,A Boy in the Country,"Bishop, James",1980-1990,Handwritten nonfiction essay draft by James Bishop,essays;draft;handwritten;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll012,feedback001.pdf,,,Red Road,N/A,1980-1990,"Typed feedback on James Bishop's essay ""Red Road"" submitted for publication",feedback;typed,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll013,essay011.pdf,,,Will and Wiley's Last Flight,"Bishop, James",1980-1990,Handwritten nonfiction essay draft by James Bishop,essays;draft;handwritten;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll014,essay012.pdf,,,My First Love,"Bishop, James",1980-1990,Handwritten nonfiction essay draft by James Bishop,essays;draft;handwritten;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll015,essay013.pdf,,,Ecole Des Beaux Arts,"Bishop, James",1980-1990,"Typed nonfiction essay about the Ecole Des Beaux Arts, a fine arts school in Paris, France, with handwritten edits by James Bishop",essays;draft;typed;edits;memoir,"Paris, France",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll016,essay014.pdf,,,Somewhere Over the Rainbow,"Bishop, James",1980-1990,Typed nonfiction essay by James Bishop,essays;draft;typed;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll017,essay015.pdf,,,The Commuter,"Bishop, James",1985-11-27,Typed Nonfiction Essay with Publication Inquiry by James Bishop,essays;final;typed;feedback;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll018,essay016.pdf,,,Sunday at the Movies,"Bishop, James",1980-1990,Handwritten nonfiction essay draft with edits by James Bishop,essays;draft;handwritten;edits;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
coll019,essay017.pdf,,,Red Road,"Bishop, James",1980-1990,Handwritten nonfiction essay draft by James Bishop,essays;draft;handwritten;memoir,"Houston, Texas",n-a,n-a,n-a,n-a,Digitial scan,pdf,eng,Bishop Family
